Country,ISO3,SFP/AMC,Population (UNDESA),COVAX Forecast Total,COVAX AstraZeneca/SII,COVAX AstraZeneca/SKBio,COVAX Pfizer/BioNTech,COVAX Delivered,Other Delivered,Total Delivered,Population Covered (One Dose),Other Delivered Source Country,Other Delivered Source URLs
#country+name,#country+code,#meta+participant_status,#population+total,#capacity+covax+total,#capacity+covax+azsii+doses,#capacity+covax+azskbio+doses,#capacity+covax+pfizerbiontech+doses,#capacity+covax+delivered+doses,#capacity+others+delivered+doses,#capacity+delivered+total,#capacity+coverage+one_dose,#meta+source_country,#meta+source_url
Afghanistan,AFG,AMC,"38,928,341","2,580,000","2,580,000",,,0,"500,000","500,000",1.28%,India,https://www.livemint.com/news/india/first-batch-of-covid-19-vaccine-from-india-arrives-in-afghanistan-11612755483065.html
Burkina Faso,BFA,AMC,"20,903,278","1,380,000","1,380,000",,,0,0,0,0.00%,,
Cameroon,CMR,AMC,"26,545,864","1,752,000","1,752,000",,,0,0,0,0.00%,,
CAR,CAF,AMC,"4,829,764","312,000","312,000",,,0,0,0,0.00%,,
Chad,TCD,AMC,"16,425,859","1,080,000","1,080,000",,,0,0,0,0.00%,,
Colombia,COL,SFP,"50,882,884","2,183,400",,"2,066,400","117,000","117,000","1,696,000","1,813,000",3.56%,"Colombia (Procured) 1.6M (Pfizer), 96K (Sinopharm)",https://www.aa.com.tr/en/americas/colombia-s-first-shipment-of-covid-19-vaccines-arrive/2146126
DRC,COD,AMC,"89,561,404","5,928,000","5,928,000",,,"1,700,000",0,"1,700,000",1.90%,,
Ethiopia,ETH,AMC,"114,963,583","7,620,000","7,620,000",,,0,0,0,0.00%,,
Haiti,HTI,AMC,"11,402,533","756,000","756,000",,,0,0,0,0.00%,,
Iraq,IRQ,SFP,"40,222,503","1,725,600",,"1,725,600",,0,"50,000","50,000",0.12%,China (Sinopharm),
Libya,LBY,SFP,"6,871,287","292,800",,"292,800",,0,0,0,0.00%,,
Mali,MLI,AMC,"20,250,834","1,332,000","1,332,000",,,"396,000",0,"396,000",1.96%,,
Mozambique,MOZ,AMC,"31,255,435","2,064,000","2,064,000",,,0,"200,000","200,000",0.64%,China (Sinopharm),
Myanmar,MMR,AMC,"54,409,794","3,600,000","3,600,000",,,0,"2,000,000","2,000,000",3.68%,India,https://www.hindustantimes.com/india-news/india-sends-22-9-mn-doses-of-covid-19-vaccines-to-20-countries-more-in-pipeline-101613142400644.html
Niger,NER,AMC,"24,206,636","1,596,000","1,596,000",,,0,0,0,0.00%,,
Nigeria,NGA,AMC,"206,139,587","13,656,000","13,656,000",,,"3,940,000",0,"3,940,000",1.91%,,
oPt,PSE,,"5,101,416","205,440","168,000",,"37,440",0,"35,000","35,000",0.69%,"UAE (20,000), Russia (10,000), Israel (5,000)","https://www.bbc.com/news/55800921, https://www.washingtonpost.com/world/middle_east/israel-gaza-vaccine-blocked/2021/02/17/5a29112a-70f7-11eb-8651-6d3091eac63f_story.html"
Pakistan,PAK,AMC,"220,892,331","14,640,000","14,640,000",,,0,"500,000","500,000",0.23%,Pakistan (Procured) (Sinopharm),https://foreignpolicy.com/2021/02/25/pakistan-covid-vaccines-obstacles-covax/
Somalia,SOM,AMC,"15,893,219","1,044,000","1,044,000",,,0,0,0,0.00%,,
South Sudan,SSD,AMC,"11,193,729","732,000","732,000",,,0,0,0,0.00%,,
Sudan,SDN,AMC,"43,849,269","2,904,000","2,904,000",,,"820,000",0,"820,000",1.87%,,
Syria,SYR,AMC,"17,500,657","1,020,000","1,020,000",,,0,0,0,0.00%,,
Ukraine,UKR,AMC,"43,733,759","1,893,000",,"1,776,000","117,000",0,"500,000","500,000",1.14%,Ukraine (procured) - India (AZ),https://www.france24.com/en/live-news/20210223-ukraine-receives-first-covid-19-vaccine-doses
Venezuela,VEN,SFP,"28,435,943",0,,0,,0,"100,000","100,000",0.35%,Russia,https://www.telesurenglish.net/news/Venezuela-Set-to-Receive-100000-Doses-of-Russian-Sputnik-V-20210210-0007.html
Yemen,YEM,AMC,"29,825,968","1,968,000","1,968,000",,,0,0,0,0.00%,,
Zimbabwe,ZWE,AMC,"14,862,927","984,000","984,000",,,0,"200,000","200,000",1.35%,China (Sinopharm),"https://www.aa.com.tr/en/africa/zimbabwe-to-receive-800-000-doses-of-vaccine-from-china/2140907, https://www.scmp.com/news/china/diplomacy/article/3121787/chinese-vaccines-reach-zimbabwe-it-receives-its-first"